Time,X(nT),Y(nT),Z(nT),F(nT),Ob_code
2021-01-01 00:00:00,18315.56,-1357.55,57662.70,60517.20,IRT
2021-01-01 00:01:00,18315.57,-1357.39,57662.80,60517.20,IRT
2021-01-01 00:02:00,18315.70,-1357.02,57662.80,60517.30,IRT
2021-01-01 00:03:00,18315.92,-1356.72,57662.80,60517.40,IRT
2021-01-01 00:04:00,18316.05,-1356.30,57662.90,60517.40,IRT
2021-01-01 00:05:00,18316.16,-1356.25,57662.90,60517.40,IRT
2021-01-01 00:06:00,18315.89,-1357.14,57662.90,60517.40,IRT
2021-01-01 00:07:00,18315.38,-1358.60,57662.70,60517.10,IRT
2021-01-01 00:08:00,18314.80,-1359.58,57662.50,60516.80,IRT
2021-01-01 00:09:00,18314.83,-1359.26,57662.50,60516.80,IRT
2021-01-01 00:10:00,18315.19,-1358.54,57662.60,60516.90,IRT
2021-01-01 00:11:00,18315.41,-1358.18,57662.70,60517.10,IRT
2021-01-01 00:12:00,18315.24,-1357.84,57662.70,60517.10,IRT
2021-01-01 00:13:00,18315.46,-1357.54,57662.80,60517.20,IRT
2021-01-01 00:14:00,18315.60,-1356.96,57662.80,60517.30,IRT
2021-01-01 00:15:00,18315.60,-1356.96,57662.80,60517.30,IRT
2021-01-01 00:16:00,18315.60,-1356.96,57662.80,60517.30,IRT
2021-01-01 00:17:00,18315.71,-1356.86,57662.80,60517.40,IRT
2021-01-01 00:18:00,18315.51,-1356.79,57662.70,60517.30,IRT
2021-01-01 00:19:00,18315.91,-1356.82,57662.80,60517.40,IRT
2021-01-01 00:20:00,18316.11,-1356.89,57662.90,60517.60,IRT
2021-01-01 00:21:00,18316.10,-1357.05,57662.90,60517.60,IRT
2021-01-01 00:22:00,18316.18,-1357.32,57662.90,60517.60,IRT
2021-01-01 00:23:00,18316.16,-1357.54,57662.90,60517.60,IRT
2021-01-01 00:24:00,18316.03,-1357.96,57662.90,60517.60,IRT
2021-01-01 00:25:00,18315.68,-1358.57,57662.80,60517.40,IRT
2021-01-01 00:26:00,18315.47,-1358.72,57662.80,60517.30,IRT
2021-01-01 00:27:00,18315.36,-1358.82,57662.80,60517.30,IRT
2021-01-01 00:28:00,18315.48,-1358.66,57662.90,60517.40,IRT
2021-01-01 00:29:00,18315.60,-1358.41,57663.00,60517.50,IRT
2021-01-01 00:30:00,18315.61,-1358.25,57663.10,60517.60,IRT
2021-01-01 00:31:00,18315.92,-1358.05,57663.10,60517.70,IRT
2021-01-01 00:32:00,18316.12,-1358.02,57663.20,60517.80,IRT
2021-01-01 00:33:00,18316.12,-1358.07,57663.20,60517.90,IRT
2021-01-01 00:34:00,18316.12,-1358.12,57663.20,60517.90,IRT
2021-01-01 00:35:00,18316.02,-1358.06,57663.20,60517.90,IRT
2021-01-01 00:36:00,18316.13,-1357.96,57663.30,60518.00,IRT
2021-01-01 00:37:00,18316.04,-1357.85,57663.30,60518.00,IRT
2021-01-01 00:38:00,18316.15,-1357.70,57663.40,60518.10,IRT
2021-01-01 00:39:00,18316.15,-1357.70,57663.40,60518.10,IRT
2021-01-01 00:40:00,18316.04,-1357.74,57663.50,60518.10,IRT
2021-01-01 00:41:00,18316.06,-1357.53,57663.50,60518.20,IRT
2021-01-01 00:42:00,18316.16,-1357.48,57663.60,60518.20,IRT
2021-01-01 00:43:00,18316.25,-1357.70,57663.70,60518.30,IRT
2021-01-01 00:44:00,18316.24,-1357.76,57663.80,60518.30,IRT
2021-01-01 00:45:00,18316.14,-1357.86,57663.80,60518.30,IRT
2021-01-01 00:46:00,18315.93,-1357.95,57663.80,60518.30,IRT
2021-01-01 00:47:00,18315.53,-1357.97,57663.80,60518.10,IRT
2021-01-01 00:48:00,18315.64,-1357.82,57663.80,60518.10,IRT
2021-01-01 00:49:00,18315.64,-1357.77,57663.90,60518.20,IRT
2021-01-01 00:50:00,18315.65,-1357.61,57663.90,60518.30,IRT
2021-01-01 00:51:00,18315.66,-1357.50,57663.90,60518.30,IRT
2021-01-01 00:52:00,18315.56,-1357.49,57663.90,60518.30,IRT
2021-01-01 00:53:00,18315.46,-1357.54,57663.90,60518.30,IRT
2021-01-01 00:54:00,18315.46,-1357.59,57664.00,60518.30,IRT
2021-01-01 00:55:00,18315.57,-1357.44,57664.00,60518.40,IRT
2021-01-01 00:56:00,18315.58,-1357.28,57664.00,60518.40,IRT
2021-01-01 00:57:00,18315.48,-1357.22,57664.10,60518.40,IRT
2021-01-01 00:58:00,18315.39,-1357.10,57664.10,60518.40,IRT
2021-01-01 00:59:00,18315.40,-1357.00,57664.10,60518.40,IRT
2021-01-01 01:00:00,18315.30,-1356.99,57664.10,60518.40,IRT
2021-01-01 01:01:00,18315.30,-1356.94,57664.10,60518.40,IRT
2021-01-01 01:02:00,18315.20,-1356.93,57664.10,60518.30,IRT
2021-01-01 01:03:00,18315.20,-1356.93,57664.10,60518.30,IRT
2021-01-01 01:04:00,18315.10,-1356.92,57664.10,60518.30,IRT
2021-01-01 01:05:00,18315.10,-1356.98,57664.10,60518.30,IRT
2021-01-01 01:06:00,18315.10,-1356.98,57664.10,60518.30,IRT
2021-01-01 01:07:00,18315.10,-1356.92,57664.00,60518.30,IRT
2021-01-01 01:08:00,18314.90,-1356.91,57664.00,60518.20,IRT
2021-01-01 01:09:00,18314.81,-1356.79,57664.00,60518.20,IRT
2021-01-01 01:10:00,18314.72,-1356.73,57664.00,60518.10,IRT
2021-01-01 01:11:00,18314.62,-1356.67,57664.00,60518.10,IRT
2021-01-01 01:12:00,18314.42,-1356.60,57663.90,60518.00,IRT
2021-01-01 01:13:00,18314.33,-1356.54,57663.90,60518.00,IRT
2021-01-01 01:14:00,18314.23,-1356.48,57663.90,60517.90,IRT
2021-01-01 01:15:00,18314.13,-1356.53,57663.90,60517.90,IRT
2021-01-01 01:16:00,18314.03,-1356.47,57663.90,60517.80,IRT
2021-01-01 01:17:00,18313.84,-1356.40,57663.90,60517.80,IRT
2021-01-01 01:18:00,18313.83,-1356.45,57663.90,60517.70,IRT
2021-01-01 01:19:00,18313.73,-1356.45,57663.80,60517.70,IRT
2021-01-01 01:20:00,18313.73,-1356.50,57663.90,60517.70,IRT
2021-01-01 01:21:00,18313.63,-1356.49,57663.90,60517.70,IRT
2021-01-01 01:22:00,18313.62,-1356.65,57663.90,60517.60,IRT
2021-01-01 01:23:00,18313.59,-1357.02,57663.90,60517.60,IRT
2021-01-01 01:24:00,18313.59,-1357.02,57663.90,60517.60,IRT
2021-01-01 01:25:00,18313.59,-1357.02,57663.90,60517.60,IRT
2021-01-01 01:26:00,18313.30,-1356.95,57663.90,60517.50,IRT
2021-01-01 01:27:00,18313.21,-1356.84,57663.90,60517.50,IRT
2021-01-01 01:28:00,18313.11,-1356.72,57663.90,60517.50,IRT
2021-01-01 01:29:00,18313.12,-1356.67,57663.90,60517.40,IRT
2021-01-01 01:30:00,18313.02,-1356.55,57663.90,60517.40,IRT
2021-01-01 01:31:00,18312.73,-1356.53,57663.90,60517.30,IRT
2021-01-01 01:32:00,18312.63,-1356.52,57663.80,60517.20,IRT
2021-01-01 01:33:00,18312.64,-1356.36,57663.80,60517.20,IRT
2021-01-01 01:34:00,18312.74,-1356.32,57663.90,60517.20,IRT
2021-01-01 01:35:00,18312.35,-1356.18,57663.90,60517.20,IRT
2021-01-01 01:36:00,18312.45,-1356.19,57663.80,60517.10,IRT
2021-01-01 01:37:00,18312.35,-1356.18,57663.80,60517.10,IRT
2021-01-01 01:38:00,18312.25,-1356.12,57663.80,60517.10,IRT
2021-01-01 01:39:00,18312.26,-1356.02,57663.80,60517.10,IRT
2021-01-01 01:40:00,18312.06,-1356.05,57663.80,60517.10,IRT
2021-01-01 01:41:00,18312.16,-1356.06,57663.80,60517.10,IRT
2021-01-01 01:42:00,18312.06,-1356.05,57663.80,60517.00,IRT
2021-01-01 01:43:00,18311.96,-1356.05,57663.70,60517.00,IRT
2021-01-01 01:44:00,18311.96,-1356.10,57663.70,60517.00,IRT
2021-01-01 01:45:00,18311.76,-1356.03,57663.70,60516.90,IRT
2021-01-01 01:46:00,18311.67,-1355.92,57663.70,60516.90,IRT
2021-01-01 01:47:00,18311.56,-1355.96,57663.70,60516.80,IRT
2021-01-01 01:48:00,18311.47,-1355.90,57663.70,60516.80,IRT
2021-01-01 01:49:00,18311.46,-1355.96,57663.70,60516.80,IRT
2021-01-01 01:50:00,18311.67,-1355.97,57663.70,60516.90,IRT
2021-01-01 01:51:00,18311.67,-1355.92,57663.70,60516.80,IRT
2021-01-01 01:52:00,18311.27,-1355.94,57663.70,60516.70,IRT
2021-01-01 01:53:00,18311.46,-1355.96,57663.60,60516.70,IRT
2021-01-01 01:54:00,18311.27,-1355.84,57663.70,60516.70,IRT
2021-01-01 01:55:00,18311.27,-1355.94,57663.70,60516.70,IRT
2021-01-01 01:56:00,18311.26,-1356.05,57663.70,60516.70,IRT
2021-01-01 01:57:00,18311.05,-1356.09,57663.60,60516.70,IRT
2021-01-01 01:58:00,18311.15,-1356.09,57663.70,60516.70,IRT
2021-01-01 01:59:00,18311.15,-1356.15,57663.70,60516.70,IRT
2021-01-01 02:00:00,18310.95,-1356.19,57663.60,60516.60,IRT
2021-01-01 02:01:00,18310.65,-1356.16,57663.60,60516.50,IRT
2021-01-01 02:02:00,18310.44,-1356.31,57663.50,60516.40,IRT
2021-01-01 02:03:00,18310.44,-1356.31,57663.50,60516.40,IRT
2021-01-01 02:04:00,18310.34,-1356.19,57663.60,60516.30,IRT
2021-01-01 02:05:00,18310.14,-1356.29,57663.50,60516.30,IRT
2021-01-01 02:06:00,18310.13,-1356.34,57663.50,60516.30,IRT
2021-01-01 02:07:00,18310.22,-1356.56,57663.60,60516.30,IRT
2021-01-01 02:08:00,18310.02,-1356.55,57663.60,60516.30,IRT
2021-01-01 02:09:00,18310.01,-1356.60,57663.60,60516.30,IRT
2021-01-01 02:10:00,18309.82,-1356.48,57663.60,60516.20,IRT
2021-01-01 02:11:00,18309.62,-1356.46,57663.50,60516.10,IRT
2021-01-01 02:12:00,18309.52,-1356.46,57663.50,60516.10,IRT
2021-01-01 02:13:00,18309.42,-1356.45,57663.60,60516.00,IRT
2021-01-01 02:14:00,18309.32,-1356.44,57663.60,60516.00,IRT
2021-01-01 02:15:00,18309.23,-1356.38,57663.60,60516.10,IRT
2021-01-01 02:16:00,18309.03,-1356.31,57663.60,60516.00,IRT
2021-01-01 02:17:00,18309.03,-1356.31,57663.60,60516.00,IRT
2021-01-01 02:18:00,18309.02,-1356.53,57663.70,60516.10,IRT
2021-01-01 02:19:00,18308.83,-1356.30,57663.70,60516.00,IRT
2021-01-01 02:20:00,18308.73,-1356.34,57663.70,60516.00,IRT
2021-01-01 02:21:00,18308.83,-1356.30,57663.70,60516.00,IRT
2021-01-01 02:22:00,18309.12,-1356.43,57663.80,60516.20,IRT
2021-01-01 02:23:00,18309.04,-1356.21,57663.90,60516.30,IRT
2021-01-01 02:24:00,18309.03,-1356.31,57663.90,60516.30,IRT
2021-01-01 02:25:00,18309.02,-1356.47,57663.90,60516.30,IRT
2021-01-01 02:26:00,18308.90,-1356.68,57663.90,60516.20,IRT
2021-01-01 02:27:00,18308.98,-1356.95,57663.90,60516.30,IRT
2021-01-01 02:28:00,18308.78,-1357.04,57664.00,60516.30,IRT
2021-01-01 02:29:00,18308.66,-1357.25,57663.90,60516.20,IRT
2021-01-01 02:30:00,18308.06,-1357.31,57663.90,60516.00,IRT
2021-01-01 02:31:00,18307.65,-1357.39,57663.80,60515.80,IRT
2021-01-01 02:32:00,18307.25,-1357.41,57663.80,60515.70,IRT
2021-01-01 02:33:00,18307.05,-1357.29,57663.80,60515.60,IRT
2021-01-01 02:34:00,18306.94,-1357.44,57663.90,60515.60,IRT
2021-01-01 02:35:00,18306.93,-1357.55,57663.90,60515.70,IRT
2021-01-01 02:36:00,18307.02,-1357.72,57664.00,60515.80,IRT
2021-01-01 02:37:00,18307.01,-1357.88,57664.00,60515.80,IRT
2021-01-01 02:38:00,18306.81,-1357.86,57664.00,60515.80,IRT
2021-01-01 02:39:00,18306.89,-1358.08,57664.00,60515.80,IRT
2021-01-01 02:40:00,18306.79,-1358.13,57664.10,60515.90,IRT
2021-01-01 02:41:00,18306.39,-1358.10,57664.10,60515.80,IRT
2021-01-01 02:42:00,18306.49,-1358.16,57664.10,60515.80,IRT
2021-01-01 02:43:00,18306.39,-1358.10,57664.20,60515.80,IRT
2021-01-01 02:44:00,18306.29,-1358.09,57664.20,60515.90,IRT
2021-01-01 02:45:00,18306.29,-1358.14,57664.30,60515.90,IRT
2021-01-01 02:46:00,18306.19,-1358.19,57664.40,60515.90,IRT
2021-01-01 02:47:00,18305.99,-1358.17,57664.40,60515.90,IRT
2021-01-01 02:48:00,18305.89,-1358.06,57664.40,60515.90,IRT
2021-01-01 02:49:00,18305.88,-1358.17,57664.50,60516.00,IRT
2021-01-01 02:50:00,18306.09,-1358.18,57664.60,60516.10,IRT
2021-01-01 02:51:00,18306.09,-1358.18,57664.60,60516.20,IRT
2021-01-01 02:52:00,18305.98,-1358.23,57664.70,60516.20,IRT
2021-01-01 02:53:00,18305.88,-1358.22,57664.70,60516.20,IRT
2021-01-01 02:54:00,18305.87,-1358.38,57664.70,60516.20,IRT
2021-01-01 02:55:00,18305.87,-1358.33,57664.70,60516.20,IRT
2021-01-01 02:56:00,18305.58,-1358.20,57664.70,60516.20,IRT
2021-01-01 02:57:00,18305.50,-1358.03,57664.80,60516.20,IRT
2021-01-01 02:58:00,18305.40,-1357.97,57664.80,60516.20,IRT
2021-01-01 02:59:00,18305.50,-1357.92,57664.90,60516.20,IRT
2021-01-01 03:00:00,18305.80,-1358.00,57664.90,60516.40,IRT
2021-01-01 03:01:00,18306.55,-1358.70,57665.20,60516.80,IRT
2021-01-01 03:02:00,18306.57,-1358.43,57665.20,60516.80,IRT
2021-01-01 03:03:00,18306.28,-1358.25,57665.30,60516.70,IRT
2021-01-01 03:04:00,18306.27,-1358.46,57665.30,60516.80,IRT
2021-01-01 03:05:00,18306.07,-1358.39,57665.30,60516.70,IRT
2021-01-01 03:06:00,18305.77,-1358.32,57665.30,60516.60,IRT
2021-01-01 03:07:00,18305.59,-1358.14,57665.20,60516.50,IRT
2021-01-01 03:08:00,18305.49,-1358.08,57665.30,60516.50,IRT
2021-01-01 03:09:00,18305.68,-1358.21,57665.30,60516.60,IRT
2021-01-01 03:10:00,18305.77,-1358.32,57665.30,60516.70,IRT
2021-01-01 03:11:00,18305.87,-1358.38,57665.40,60516.80,IRT
2021-01-01 03:12:00,18305.77,-1358.37,57665.40,60516.80,IRT
2021-01-01 03:13:00,18305.76,-1358.48,57665.50,60516.80,IRT
2021-01-01 03:14:00,18306.05,-1358.71,57665.50,60516.90,IRT
2021-01-01 03:15:00,18306.04,-1358.82,57665.50,60516.90,IRT
2021-01-01 03:16:00,18306.23,-1358.89,57665.50,60517.00,IRT
2021-01-01 03:17:00,18306.22,-1359.00,57665.60,60517.10,IRT
2021-01-01 03:18:00,18306.12,-1359.04,57665.50,60517.00,IRT
2021-01-01 03:19:00,18306.12,-1359.09,57665.60,60517.00,IRT
2021-01-01 03:20:00,18306.12,-1359.09,57665.50,60517.00,IRT
2021-01-01 03:21:00,18306.01,-1359.19,57665.60,60517.00,IRT
2021-01-01 03:22:00,18306.11,-1359.25,57665.60,60517.10,IRT
2021-01-01 03:23:00,18306.29,-1359.43,57665.60,60517.10,IRT
2021-01-01 03:24:00,18306.19,-1359.42,57665.60,60517.10,IRT
2021-01-01 03:25:00,18305.90,-1359.40,57665.60,60517.00,IRT
2021-01-01 03:26:00,18305.68,-1359.65,57665.50,60516.90,IRT
2021-01-01 03:27:00,18305.68,-1359.65,57665.50,60516.90,IRT
2021-01-01 03:28:00,18305.28,-1359.62,57665.50,60516.70,IRT
2021-01-01 03:29:00,18305.28,-1359.57,57665.50,60516.70,IRT
2021-01-01 03:30:00,18305.37,-1359.73,57665.50,60516.80,IRT
2021-01-01 03:31:00,18305.46,-1359.80,57665.50,60516.80,IRT
2021-01-01 03:32:00,18305.46,-1359.80,57665.50,60516.90,IRT
2021-01-01 03:33:00,18305.46,-1359.90,57665.50,60516.90,IRT
2021-01-01 03:34:00,18305.36,-1359.89,57665.50,60516.80,IRT
2021-01-01 03:35:00,18305.25,-1359.99,57665.50,60516.80,IRT
2021-01-01 03:36:00,18305.34,-1360.11,57665.50,60516.80,IRT
2021-01-01 03:37:00,18305.34,-1360.11,57665.50,60516.80,IRT
2021-01-01 03:38:00,18305.35,-1360.05,57665.50,60516.80,IRT
2021-01-01 03:39:00,18305.14,-1360.04,57665.50,60516.70,IRT
2021-01-01 03:40:00,18305.05,-1359.98,57665.40,60516.60,IRT
2021-01-01 03:41:00,18304.95,-1359.97,57665.50,60516.60,IRT
2021-01-01 03:42:00,18304.75,-1359.90,57665.40,60516.50,IRT
2021-01-01 03:43:00,18304.65,-1359.90,57665.40,60516.50,IRT
2021-01-01 03:44:00,18304.85,-1360.02,57665.40,60516.60,IRT
2021-01-01 03:45:00,18305.04,-1360.09,57665.50,60516.70,IRT
2021-01-01 03:46:00,18305.03,-1360.19,57665.40,60516.60,IRT
2021-01-01 03:47:00,18304.93,-1360.18,57665.40,60516.60,IRT
2021-01-01 03:48:00,18304.63,-1360.27,57665.30,60516.50,IRT
2021-01-01 03:49:00,18304.81,-1360.44,57665.30,60516.50,IRT
2021-01-01 03:50:00,18304.70,-1360.60,57665.30,60516.50,IRT
2021-01-01 03:51:00,18304.80,-1360.66,57665.30,60516.40,IRT
2021-01-01 03:52:00,18304.89,-1360.77,57665.30,60516.50,IRT
2021-01-01 03:53:00,18304.88,-1360.88,57665.30,60516.50,IRT
2021-01-01 03:54:00,18304.49,-1360.79,57665.20,60516.30,IRT
2021-01-01 03:55:00,18304.11,-1360.50,57665.10,60516.10,IRT
2021-01-01 03:56:00,18304.00,-1360.54,57665.10,60516.00,IRT
2021-01-01 03:57:00,18304.08,-1360.82,57665.00,60516.10,IRT
2021-01-01 03:58:00,18304.38,-1360.95,57665.10,60516.20,IRT
2021-01-01 03:59:00,18304.39,-1360.79,57665.10,60516.10,IRT
2021-01-01 04:00:00,18304.48,-1360.90,57665.00,60516.10,IRT
2021-01-01 04:01:00,18304.86,-1361.20,57665.00,60516.20,IRT
2021-01-01 04:02:00,18305.53,-1361.67,57665.00,60516.50,IRT
2021-01-01 04:03:00,18305.53,-1361.57,57665.00,60516.50,IRT
2021-01-01 04:04:00,18305.72,-1361.74,57665.00,60516.50,IRT
2021-01-01 04:05:00,18305.61,-1361.89,57664.90,60516.40,IRT
2021-01-01 04:06:00,18305.02,-1361.69,57664.80,60516.10,IRT
2021-01-01 04:07:00,18305.52,-1361.78,57664.70,60516.20,IRT
2021-01-01 04:08:00,18305.67,-1362.43,57664.70,60516.20,IRT
2021-01-01 04:09:00,18305.20,-1362.08,57664.60,60515.90,IRT
2021-01-01 04:10:00,18304.99,-1362.12,57664.50,60515.80,IRT
2021-01-01 04:11:00,18305.30,-1362.03,57664.30,60515.90,IRT
2021-01-01 04:12:00,18305.30,-1361.98,57664.30,60515.80,IRT
2021-01-01 04:13:00,18305.60,-1362.00,57664.20,60515.90,IRT
2021-01-01 04:14:00,18305.62,-1361.79,57664.20,60515.80,IRT
2021-01-01 04:15:00,18305.04,-1361.48,57664.10,60515.50,IRT
2021-01-01 04:16:00,18305.04,-1361.53,57664.00,60515.40,IRT
2021-01-01 04:17:00,18305.23,-1361.55,57664.00,60515.40,IRT
2021-01-01 04:18:00,18305.54,-1361.51,57663.90,60515.40,IRT
2021-01-01 04:19:00,18305.63,-1361.57,57663.80,60515.40,IRT
2021-01-01 04:20:00,18305.74,-1361.42,57663.80,60515.40,IRT
2021-01-01 04:21:00,18306.22,-1361.73,57663.80,60515.50,IRT
2021-01-01 04:22:00,18306.31,-1361.84,57663.70,60515.50,IRT
2021-01-01 04:23:00,18306.30,-1362.00,57663.60,60515.40,IRT
2021-01-01 04:24:00,18306.49,-1362.23,57663.60,60515.40,IRT
2021-01-01 04:25:00,18306.67,-1362.46,57663.50,60515.40,IRT
2021-01-01 04:26:00,18306.66,-1362.56,57663.50,60515.40,IRT
2021-01-01 04:27:00,18306.85,-1362.74,57663.40,60515.40,IRT
2021-01-01 04:28:00,18306.75,-1362.68,57663.40,60515.30,IRT
2021-01-01 04:29:00,18306.75,-1362.78,57663.30,60515.20,IRT
2021-01-01 04:30:00,18306.64,-1362.83,57663.20,60515.10,IRT
2021-01-01 04:31:00,18306.63,-1362.99,57663.20,60515.00,IRT
2021-01-01 04:32:00,18306.43,-1362.97,57663.10,60514.90,IRT
2021-01-01 04:33:00,18306.33,-1362.97,57663.00,60514.80,IRT
2021-01-01 04:34:00,18306.42,-1363.08,57663.00,60514.80,IRT
2021-01-01 04:35:00,18306.51,-1363.25,57663.00,60514.80,IRT
2021-01-01 04:36:00,18306.60,-1363.47,57662.90,60514.80,IRT
2021-01-01 04:37:00,18306.79,-1363.54,57662.90,60514.90,IRT
2021-01-01 04:38:00,18306.87,-1363.76,57662.90,60514.90,IRT
2021-01-01 04:39:00,18306.70,-1363.42,57662.80,60514.80,IRT
2021-01-01 04:40:00,18306.39,-1363.51,57662.70,60514.60,IRT
2021-01-01 04:41:00,18306.38,-1363.67,57662.60,60514.60,IRT
2021-01-01 04:42:00,18306.28,-1363.66,57662.60,60514.60,IRT
2021-01-01 04:43:00,18305.88,-1363.57,57662.60,60514.40,IRT
2021-01-01 04:44:00,18305.89,-1363.52,57662.60,60514.40,IRT
2021-01-01 04:45:00,18305.01,-1363.19,57662.40,60513.90,IRT
2021-01-01 04:46:00,18304.64,-1362.84,57662.30,60513.70,IRT
2021-01-01 04:47:00,18305.11,-1363.20,57662.40,60514.00,IRT
2021-01-01 04:48:00,18305.99,-1363.53,57662.50,60514.40,IRT
2021-01-01 04:49:00,18306.29,-1363.55,57662.60,60514.50,IRT
2021-01-01 04:50:00,18306.31,-1363.29,57662.60,60514.50,IRT
2021-01-01 04:51:00,18305.06,-1362.55,57662.40,60513.90,IRT
2021-01-01 04:52:00,18304.29,-1362.17,57662.20,60513.50,IRT
2021-01-01 04:53:00,18304.49,-1362.13,57662.20,60513.50,IRT
2021-01-01 04:54:00,18305.29,-1362.19,57662.30,60513.90,IRT
2021-01-01 04:55:00,18306.36,-1362.59,57662.40,60514.40,IRT
2021-01-01 04:56:00,18307.19,-1363.62,57662.60,60514.70,IRT
2021-01-01 04:57:00,18307.86,-1363.99,57662.70,60514.90,IRT
2021-01-01 04:58:00,18307.97,-1363.89,57662.70,60514.90,IRT
2021-01-01 04:59:00,18307.88,-1363.67,57662.50,60514.80,IRT
2021-01-01 05:00:00,18308.17,-1363.91,57662.50,60514.90,IRT
2021-01-01 05:01:00,18309.10,-1364.89,57662.50,60515.20,IRT
2021-01-01 05:02:00,18310.12,-1365.98,57662.60,60515.70,IRT
2021-01-01 05:03:00,18310.79,-1366.40,57662.60,60515.80,IRT
2021-01-01 05:04:00,18310.78,-1366.56,57662.50,60515.70,IRT
2021-01-01 05:05:00,18310.67,-1366.61,57662.40,60515.60,IRT
2021-01-01 05:06:00,18310.66,-1366.72,57662.30,60515.50,IRT
2021-01-01 05:07:00,18310.76,-1366.83,57662.20,60515.50,IRT
2021-01-01 05:08:00,18310.86,-1366.84,57662.10,60515.40,IRT
2021-01-01 05:09:00,18310.47,-1366.70,57662.00,60515.10,IRT
2021-01-01 05:10:00,18310.47,-1366.70,57661.90,60515.00,IRT
2021-01-01 05:11:00,18310.46,-1366.81,57661.80,60515.00,IRT
2021-01-01 05:12:00,18310.44,-1367.02,57661.70,60514.90,IRT
2021-01-01 05:13:00,18310.53,-1367.19,57661.70,60514.90,IRT
2021-01-01 05:14:00,18310.44,-1367.07,57661.60,60514.90,IRT
2021-01-01 05:15:00,18310.54,-1367.08,57661.60,60514.90,IRT
2021-01-01 05:16:00,18310.73,-1367.15,57661.60,60514.90,IRT
2021-01-01 05:17:00,18310.82,-1367.26,57661.50,60514.90,IRT
2021-01-01 05:18:00,18310.92,-1367.27,57661.50,60514.90,IRT
2021-01-01 05:19:00,18311.21,-1367.40,57661.50,60515.00,IRT
2021-01-01 05:20:00,18311.21,-1367.40,57661.40,60514.90,IRT
2021-01-01 05:21:00,18311.41,-1367.41,57661.40,60515.00,IRT
2021-01-01 05:22:00,18311.42,-1367.36,57661.40,60515.00,IRT
2021-01-01 05:23:00,18311.52,-1367.32,57661.30,60514.90,IRT
2021-01-01 05:24:00,18311.62,-1367.32,57661.40,60514.90,IRT
2021-01-01 05:25:00,18311.63,-1367.22,57661.30,60514.90,IRT
2021-01-01 05:26:00,18311.83,-1367.23,57661.40,60515.00,IRT
2021-01-01 05:27:00,18311.83,-1367.23,57661.40,60515.00,IRT
2021-01-01 05:28:00,18311.93,-1367.19,57661.40,60515.10,IRT
2021-01-01 05:29:00,18312.03,-1367.19,57661.40,60515.10,IRT
2021-01-01 05:30:00,18311.83,-1367.28,57661.40,60515.10,IRT
2021-01-01 05:31:00,18312.20,-1367.69,57661.40,60515.20,IRT
2021-01-01 05:32:00,18312.29,-1367.75,57661.40,60515.30,IRT
2021-01-01 05:33:00,18312.39,-1367.81,57661.40,60515.30,IRT
2021-01-01 05:34:00,18312.40,-1367.70,57661.40,60515.40,IRT
2021-01-01 05:35:00,18312.60,-1367.72,57661.50,60515.40,IRT
2021-01-01 05:36:00,18312.51,-1367.55,57661.50,60515.40,IRT
2021-01-01 05:37:00,18312.61,-1367.50,57661.50,60515.50,IRT
2021-01-01 05:38:00,18312.71,-1367.46,57661.60,60515.60,IRT
2021-01-01 05:39:00,18312.62,-1367.34,57661.60,60515.50,IRT
2021-01-01 05:40:00,18312.63,-1367.24,57661.60,60515.60,IRT
2021-01-01 05:41:00,18312.63,-1367.29,57661.70,60515.60,IRT
2021-01-01 05:42:00,18312.73,-1367.25,57661.70,60515.70,IRT
2021-01-01 05:43:00,18312.83,-1367.31,57661.70,60515.80,IRT
2021-01-01 05:44:00,18312.93,-1367.31,57661.80,60515.80,IRT
2021-01-01 05:45:00,18312.93,-1367.31,57661.90,60515.90,IRT
2021-01-01 05:46:00,18313.03,-1367.27,57661.90,60515.90,IRT
2021-01-01 05:47:00,18312.94,-1367.15,57661.90,60515.90,IRT
2021-01-01 05:48:00,18312.94,-1367.15,57662.00,60516.00,IRT
2021-01-01 05:49:00,18312.94,-1367.10,57662.00,60516.10,IRT
2021-01-01 05:50:00,18313.05,-1367.05,57662.10,60516.20,IRT
2021-01-01 05:51:00,18313.25,-1367.02,57662.20,60516.30,IRT
2021-01-01 05:52:00,18313.16,-1366.90,57662.30,60516.40,IRT
2021-01-01 05:53:00,18313.16,-1366.90,57662.30,60516.40,IRT
2021-01-01 05:54:00,18313.26,-1366.91,57662.40,60516.50,IRT
2021-01-01 05:55:00,18313.55,-1367.04,57662.50,60516.70,IRT
2021-01-01 05:56:00,18313.66,-1366.94,57662.60,60516.80,IRT
2021-01-01 05:57:00,18313.83,-1367.33,57662.70,60516.90,IRT
2021-01-01 05:58:00,18313.82,-1367.43,57662.80,60517.00,IRT
2021-01-01 05:59:00,18313.81,-1367.54,57662.80,60517.00,IRT
2021-01-01 06:00:00,18313.82,-1367.49,57662.90,60517.10,IRT
2021-01-01 06:01:00,18313.73,-1367.27,57662.90,60517.10,IRT
2021-01-01 06:02:00,18313.73,-1367.27,57663.00,60517.20,IRT
2021-01-01 06:03:00,18313.73,-1367.32,57663.10,60517.30,IRT
2021-01-01 06:04:00,18313.82,-1367.38,57663.20,60517.40,IRT
2021-01-01 06:05:00,18313.72,-1367.37,57663.30,60517.40,IRT
2021-01-01 06:06:00,18313.82,-1367.43,57663.30,60517.50,IRT
